,Statcast Metrics
Rk.,,Pitcher,,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak (In.)Vertical Break (Inches),,HBreak (In.)Horizontal Break (Inches),
1, , Javy Guerra, , Nicky Lopez, 252, 20, 67, 9," In play, out(s)", 2-Seam Fastball, 99.1, 2325, 23, ↓, 17, ←
2, , Javy Guerra, , Nicky Lopez, 251, 19, 67, 9, Foul, 2-Seam Fastball, 98.0, 2294, 7, ↓, 22, ←
3, , Javy Guerra, , Nicky Lopez, 250, 18, 67, 9, Ball, 2-Seam Fastball, 98.2, 2192, 20, ↓, 16, ←
4, , Javy Guerra, , Nicky Lopez, 249, 17, 67, 9, Called Strike, 2-Seam Fastball, 98.9, 2316, 22, ↓, 18, ←
5, , Javy Guerra, , Nicky Lopez, 248, 16, 67, 9, Ball, 2-Seam Fastball, 98.5, 2241, 21, ↓, 18, ←
6, , Javy Guerra, , John Valente, 247, 15, 66, 9, Swinging Strike, 4-Seam Fastball, 90.4, 2418, 25, ↓, 3, ←
7, , Javy Guerra, , John Valente, 246, 14, 66, 9, Foul, 2-Seam Fastball, 97.5, 2188, 23, ↓, 20, ←
8, , Javy Guerra, , John Valente, 245, 13, 66, 9, Foul, 2-Seam Fastball, 97.8, 2277, 23, ↓, 19, ←
9, , Javy Guerra, , John Valente, 244, 12, 66, 9, Swinging Strike, 2-Seam Fastball, 96.9, 2244, 24, ↓, 18, ←
10, , Javy Guerra, , John Valente, 243, 11, 66, 9, Called Strike, 2-Seam Fastball, 98.8, 2305, 20, ↓, 20, ←
11, , Javy Guerra, , Brett Sullivan, 242, 10, 65, 9," In play, no out", 2-Seam Fastball, 98.9, 2235, 21, ↓, 18, ←
12, , Javy Guerra, , Dominic Fletcher, 241, 9, 64, 9, Ball, 4-Seam Fastball, 98.5, 2363, 15, ↓, 8, ←
13, , Javy Guerra, , Dominic Fletcher, 240, 8, 64, 9, Foul, 2-Seam Fastball, 99.5, 2469, 13, ↓, 12, ←
14, , Javy Guerra, , Dominic Fletcher, 239, 7, 64, 9, Foul, 4-Seam Fastball, 98.4, 2542, 13, ↓, 11, ←
15, , Javy Guerra, , Dominic Fletcher, 238, 6, 64, 9, Ball, 4-Seam Fastball, 92.3, 2547, 22, ↓, 6, ←
16, , Javy Guerra, , Dominic Fletcher, 237, 5, 64, 9, Foul, 4-Seam Fastball, 99.5, 2574, 10, ↓, 11, ←
17, , Javy Guerra, , Dominic Fletcher, 236, 4, 64, 9, Foul, 2-Seam Fastball, 97.5, 2292, 20, ↓, 17, ←
18, , Javy Guerra, , Dominic Fletcher, 235, 3, 64, 9, Called Strike, 4-Seam Fastball, 98.5, 2599, 12, ↓, 10, ←
19, , Javy Guerra, , Dominic Fletcher, 234, 2, 64, 9, Ball, 2-Seam Fastball, 98.4, 2353, 22, ↓, 19, ←
20, , Javy Guerra, , Dominic Fletcher, 233, 1, 64, 9, Ball, 4-Seam Fastball, 98.3, 2503, 13, ↓, 12, ←
21, , Glenn Albanese Jr., , Allen Cordoba, 232, 13, 63, 9," In play, out(s)", Curveball, 76.2, 2241, 51, ↓, 11, →
22, , Glenn Albanese Jr., , Allen Cordoba, 231, 12, 63, 9, Swinging Strike, Curveball, 76.9, 2345, 49, ↓, 8, →
23, , Glenn Albanese Jr., , Jhonny Santos, 230, 11, 62, 9," In play, out(s)", Curveball, 74.6, 2243, 55, ↓, 12, →
24, , Glenn Albanese Jr., , Jhonny Santos, 229, 10, 62, 9, Called Strike, Sinker, 89.9, 2324, 26, ↓, 13, ←
25, , Glenn Albanese Jr., , Jhonny Santos, 228, 9, 62, 9, Ball, Sinker, 90.9, 2293, 22, ↓, 12, ←
26, , Glenn Albanese Jr., , Edgar Munoz, 227, 8, 61, 9," In play, no out", Sinker, 90.6, 2354, 21, ↓, 11, ←
27, , Glenn Albanese Jr., , Edgar Munoz, 226, 7, 61, 9, Foul, Curveball, 75.7, 2284, 48, ↓, 14, →
28, , Glenn Albanese Jr., , Edgar Munoz, 225, 6, 61, 9, Ball, Sinker, 88.5, 2249, 23, ↓, 11, ←
29, , Glenn Albanese Jr., , Edgar Munoz, 224, 5, 61, 9, Ball, Curveball, 75.6, 2295, 46, ↓, 16, →
30, , Glenn Albanese Jr., , Edgar Munoz, 223, 4, 61, 9, Called Strike, Curveball, 75.3, 2255, 44, ↓, 15, →
31, , Glenn Albanese Jr., , Jose Ramos, 222, 3, 60, 9," In play, out(s)", Curveball, 75.6, 2179, 44, ↓, 11, →
32, , Glenn Albanese Jr., , Jose Ramos, 221, 2, 60, 9, Foul, 4-Seam Fastball, 89.1, 2261, 24, ↓, 7, ←
33, , Glenn Albanese Jr., , Jose Ramos, 220, 1, 60, 9, Ball, Curveball, 76.9, 2158, 45, ↓, 12, →
34, , Alberto Baldonado, , Vinnie Pasquantino, 219, 23, 59, 8, Called Strike, Sinker, 96.5, 2500, 14, ↓, 13, →
35, , Alberto Baldonado, , Vinnie Pasquantino, 218, 22, 59, 8, Foul, Sinker, 95.7, 2373, 15, ↓, 11, →
36, , Alberto Baldonado, , Vinnie Pasquantino, 217, 21, 59, 8, Called Strike, Slider, 86.7, 2435, 28, ↓, 3, ←
37, , Alberto Baldonado, , Vinnie Pasquantino, 216, 20, 59, 8, Ball, Slider, 87.0, 2427, 31, ↓, 4, ←
38, , Alberto Baldonado, , Vinnie Pasquantino, 215, 19, 59, 8, Ball, Slider, 85.6, 2307, 33, ↓, 3, ←
39, , Alberto Baldonado, , Sal Frelick, 214, 18, 58, 8," In play, no out", 4-Seam Fastball, 96.4, 2463, 15, ↓, 9, →
40, , Alberto Baldonado, , Sal Frelick, 213, 17, 58, 8, Called Strike, Slider, 87.8, 2366, 28, ↓, 2, ←
41, , Alberto Baldonado, , Sal Frelick, 212, 16, 58, 8, Ball, Slider, 87.0, 2394, 30, ↓, 2, ←
42, , Alberto Baldonado, , Sal Frelick, 211, 15, 58, 8, Called Strike, Sinker, 96.0, 2340, 12, ↓, 10, →
43, , Alberto Baldonado, , David Fletcher, 210, 14, 57, 8," In play, out(s)", 4-Seam Fastball, 95.8, 2390, 14, ↓, 7, →
44, , Alberto Baldonado, , David Fletcher, 209, 13, 57, 8, Foul, Sinker, 95.8, 2398, 15, ↓, 12, →
45, , Alberto Baldonado, , David Fletcher, 208, 12, 57, 8, Ball, Sinker, 95.1, 2382, 12, ↓, 13, →
46, , Alberto Baldonado, , David Fletcher, 207, 11, 57, 8, Called Strike, Sinker, 94.3, 2454, 15, ↓, 14, →
47, , Alberto Baldonado, , Dominic Miroglio, 206, 10, 56, 8," In play, out(s)", Slider, 83.9, 2193, 28, ↓, 1, →
48, , Alberto Baldonado, , Dominic Miroglio, 205, 9, 56, 8, Ball, Changeup, 83.8, 2192, 27, ↓, 15, →
49, , Matteo Bocchi, , Christian Bethancourt, 204, 18, 55, 8, Swinging Strike, Slider, 82.5, 2471, 38, ↓, 6, →
50, , Matteo Bocchi, , Christian Bethancourt, 203, 17, 55, 8, Swinging Strike, Slider, 80.7, 2527, 40, ↓, 5, →
51, , Matteo Bocchi, , Christian Bethancourt, 202, 16, 55, 8, Swinging Strike, Slider, 81.2, 2527, 38, ↓, 4, →
52, , Matteo Bocchi, , Jonathan Arauz, 201, 15, 54, 8, Ball, Sinker, 90.3, 2231, 25, ↓, 18, ←
53, , Matteo Bocchi, , Jonathan Arauz, 200, 14, 54, 8, Ball, Sinker, 90.2, 2366, 26, ↓, 19, ←
