date,country,vs,Pitcher,Batter,Game Pitch #,Pitch,PA,Inning,Result,Pitch Type,Pitch Vel  (MPH),Spin (RPM),VBreak,HBreak
2023-03-09,Itary,cuba,Mitchell Stumpo,Yurisbel Gracial,295,12,85,10,"In play, out(s)",Slider,87.9,2364.0,-34.0,-3.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Yurisbel Gracial,294,11,85,10,Swinging Strike,Slider,87.9,2349.0,-31.0,-3.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Alfredo Despaigne,293,10,84,10,"In play, out(s)",Slider,88.6,2357.0,-31.0,-6.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Alfredo Despaigne,292,9,84,10,Swinging Strike,Slider,89.3,2281.0,-30.0,-6.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,291,8,83,10,"In play, run(s)",Slider,89.6,2330.0,-31.0,-1.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,290,7,83,10,Foul,Slider,88.8,2352.0,-30.0,0.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,289,6,83,10,Foul,Slider,88.6,2300.0,-30.0,3.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,288,5,83,10,Ball,Slider,87.0,2226.0,-30.0,1.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,287,4,83,10,Swinging Strike,Slider,87.9,2212.0,-29.0,2.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,286,3,83,10,Ball,Slider,87.7,2238.0,-30.0,2.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Luis Robert Jr.,285,2,83,10,Foul,4-Seam Fastball,93.1,2366.0,-18.0,-9.0
2023-03-09,Itary,cuba,Mitchell Stumpo,Yoan Moncada,284,1,82,10,"In play, out(s)",4-Seam Fastball,93.3,2333.0,-16.0,-8.0
2023-03-09,Itary,cuba,Matt Festa,Yoelkis Guibert,264,34,74,9,"In play, out(s)",4-Seam Fastball,93.1,2476.0,-15.0,-6.0
